goos: windows
goarch: amd64
pkg: github.com/sumit/rtmds/internal/aggregation
cpu: 11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz
BenchmarkChannel_DropOldest_Push-8         	 2606265	       503.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropOldest_Push-8         	 2444640	       429.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropOldest_Push-8         	 2552641	       473.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropOldest_Push-8         	 2520031	       461.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropOldest_Push-8         	 2660290	       479.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropOldest_Push-8         	 2438202	       463.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropOldest_Push-8         	 2304784	       469.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropOldest_Push-8         	 2296375	       455.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropOldest_Push-8         	 2562693	       435.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropOldest_PushDrop-8     	 3020424	       457.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropOldest_PushDrop-8     	 2842045	       444.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropOldest_PushDrop-8     	 2807324	       425.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropOldest_PushDrop-8     	 3074949	       382.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropOldest_PushDrop-8     	 2951072	       373.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropOldest_PushDrop-8     	 3001609	       364.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropOldest_PushDrop-8     	 2922537	       424.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropOldest_PushDrop-8     	 3268707	       421.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropOldest_PushDrop-8     	 3238514	       404.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropOldest_PushDrop-8     	 3096547	       372.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropOldest_Concurrent-8   	 1645266	       726.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropOldest_Concurrent-8   	 1608249	       722.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropOldest_Concurrent-8   	 1583209	       733.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropOldest_Concurrent-8   	 1536751	       726.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropOldest_Concurrent-8   	 1655128	       711.4 ns/op	       0 B/op	       0 allocs/op
